0,27981,1544
0.001,61938,3158
0.001,98897,5166
0.001,135853,6831
0.001,174812,8611
0.002,215768,10565
0.003,258725,12561
0.003,295685,14615
0.004,341640,16859
0.004,379597,18581
0.005,428554,20547
0.005,467511,22470
0.006,506467,24938
