0.015,500000,499487
0.057,2e+06,1.99894e+06
0.124,4.5e+06,4.49834e+06
0.22,8e+06,7.99774e+06
0.346,1.25e+07,1.24971e+07
0.493,1.8e+07,1.79964e+07
0.707,2.45e+07,2.44957e+07
0.924,3.2e+07,3.1995e+07
1.175,4.05e+07,4.04943e+07
1.471,5e+07,4.99935e+07
1.708,6.05e+07,6.04926e+07
2.065,7.2e+07,7.19918e+07
2.4,8.45e+07,8.44909e+07
